,댓글번호,댓글내용,답글수,코사인유사도,유클리디언,norm유클,맨해튼,norm맨해
118,119,제발 임기내 아무것도 하지 말아주세요. 정 하고싶다면 추미애만이라도 정리해주면 좋겠어요.,0.0,0.0,1.4142135623730954,0.11256262594088304,12.563793271097184,1.0000000000000016
53,54,경험해보지 못한 나라..수직으로 곤두박칠치는 이런나라 정말 경험 못 했는데,0.0,0.0,1.4142135623730954,0.11256262594088304,12.563793271097182,1.0000000000000024
50,51,뭐를 먼저해야하는지 일의 우선순위가 무엇인지..판단하는 능력에 문제가 생긴것같네요...,0.0,0.0,1.4142135623730954,0.11256262594088304,12.56379327109718,1.0000000000000027
29,30,하지말라. 또 뭔 재앙을 내리려고. 제발 혈세 당진하고 헛짓 좀 하지 말길,0.0,0.0,1.4142135623730954,0.11256262594088304,12.563793271097182,1.0000000000000018
37,38,"한국은 원자력 발전소 없애고, 북한에는 원전 지어준다고 했다지??   ㅋㅋㅋ",0.0,0.0,1.4142135623730954,0.11256262594088304,12.56379327109718,1.0000000000000018
69,70,지역 중심의 분산형 전원 체계 : 중국에 돈을 바치겠다.,0.0,0.03278927209380057,1.3908348053641737,0.11287486119703002,12.095683345090803,0.981639640735671
57,58,지랄도 염병이다. 자유민주주의를 독재국가 하위 국가로 만든자가 뭐 한다고라,0.0,0.0,1.4142135623730954,0.11412107896720869,12.392220395843369,0.9999999999999971
126,127,"안좋은 논란거리는 다 빠지고, 뜬구름 잡는 소리의 대가. 재앙님",0.0,0.0,1.4142135623730954,0.11412107896720869,12.39222039584337,0.999999999999997
28,29,아무것도 하지말고 주딩이 꾹다물고 눈말 멀뚱멀뚱하다  집에 가라.....,0.0,0.0,1.4142135623730954,0.11412107896720869,12.392220395843369,0.999999999999997
36,37,임기전에 저 프로젝트 한다면서 돈 열라게 빼돌릴 방침이군.. 썩을 놈들..,0.0,0.0,1.4142135623730954,0.11412107896720869,12.39222039584337,0.9999999999999971
115,116,그냥 냅둬...제발.....건드리기만 하면 절단 내는 선수야ㅋ,0.0,0.0,1.4142135623730954,0.11412107896720869,12.392220395843369,0.999999999999997
60,61,슬며시 꺼저라 그게 이나라를 위하는길 아 너는 짱깨국 애국자던가,0.0,0.0,1.4142135623730954,0.11412107896720869,12.39222039584337,0.999999999999997
17,18,이거 할려고 세계최고 원전기술을 다 없애냐?? 제발 아무것도 하지마라,0.0,0.0,1.4142135623730954,0.11412107896720869,12.392220395843369,0.9999999999999972
3,4,ㄷㅊ 제발 아무것도 하지마 제발......걍 시간만 때우고 504호 들어가,0.0,0.0,1.4142135623730954,0.11518840270992275,12.277395372297052,1.0000000000000013
5,6,제발 아무것도 하지말고 가만히만 계세요.정말정말 부탁입니다.,0.0,0.0,1.4142135623730951,0.11582852684278419,12.209544582161769,0.999999999999999
45,46,나라가 망국의 길로 치닫고 있는데 어찌 저기서,0.0,0.0,1.4142135623730951,0.11582852684278419,12.20954458216177,0.999999999999999
130,131,어버리 추파리에 대해 버벅대지말고 답해라. 탄소보다 더급하다,0.0,0.0,1.4142135623730951,0.11582852684278419,12.20954458216177,0.999999999999999
109,110,저 짐승 만도못한인간아 나라가 망국의기리로간다 중국똥구   쳐 빨더니 전염병으로국민다죽는다,0.0,0.0,1.4142135623730951,0.11582852684278419,12.20954458216177,0.999999999999999
139,140,찌질한 이 놈 왜 얼굴 드리밀었지 계속 뒤에서 쩌리짓 안하고...,0.0,0.0,1.4142135623730951,0.11582852684278419,12.20954458216177,0.999999999999999
59,60,"개와돼지는 왜 사람들이 나를개돼지로알까궁금해하지~ 궁금해하지마세요!그렇게태어난거에요,초현실시대 파악못하잔아요~",0.0,0.0,1.4142135623730951,0.11582852684278419,12.20954458216177,0.999999999999999
116,117,제발 아무것도 하지마시고 다음 정권에 넘겨요...제발 부탁합니다.,0.0,0.0,1.4142135623730954,0.11693885704872986,12.093615399231883,1.0000000000000004
19,20,임기 안마치고 하야하길 바랍니다! 있으나마나한 대통님!,0.0,0.008564740089262973,1.4081443533322406,0.11744249896163786,11.933582197922359,0.9952883818846955
47,48,그냥 관망하고 임기채웅고 물러나는것이 국민 도와주는것이다,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999964
16,17,지룰 그만 떨고 교도소 갈 준비 부터해라,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999964
12,13,당신 머리속 빨갱이 사상부터 중립화가 시급함,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999966
13,14,"삼디야, 돌소대가리가 나라를 작살넸네, 참 재주도 좋네",0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999967
94,95,제발 뭐 좀 하지 마시고 때가되면 나오세요..제발요,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999967
46,47,제발 더이상 나라망치지말고 퇴임때까지 아무것도 하지마라,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999967
125,126,당면한  현실 인식을 전혀  못하는  무능한  새  끼.,0.0,0.0,1.4142135623730954,0.11772082292068604,12.01328301388036,0.9999999999999967
